review_id,rating,review_text,review_date,helpful
90749778-cd88-4c19-8b12-1fce7e7d82f8,4,kindly requesting to return change . we are forced to let go of Rs 100. after paying all zomato charges plus to delivery man .This is broad daylight robbery.,2025-11-27 08:15:26,0
aa848bb6-d242-4a7e-831e-4f21e2e60c6e,1,"Hiked prices, packing and platform charges",2025-11-27 08:08:31,0
4f888388-9f28-44a4-8601-491a87035e53,5,good discount,2025-11-27 04:20:28,0
490a16b3-aacf-4204-bdcb-ffdbf04add72,1,"Zomato in its initial days was too good, but currently the platform has started focusing only on profits. The charges have increased way too much.",2025-11-27 03:34:38,0
0090a503-13b8-4741-a7c0-42e811244563,5,good application,2025-11-27 02:50:58,0
e43f6b19-b2fe-41a1-a88d-93cf2b4fcf9c,5,this app is a beast for food order 💯,2025-11-27 02:11:39,0
bf81bc6c-106c-4f39-a296-cbc0ff516102,1,"Horrible habit to not return the change. I have been ordering from a very long time, and I have gold membership as well. These days, the delivery boys are just ready to say that we don't have any change to return. I just order a food for Rs 345, and I had to Rs 400 because the delivery boy had no change to return. I guess Zomato should just say that they will only take order for which we have to pay online as everything is happening by their respective delivery. Seriously a horrible experience.",2025-11-27 01:57:01,0
5ea695ad-d08e-438f-9549-a7137b155bcc,1,I'm disappointed to say that I tried to report a scam and the quality of the food. your customer care team did not even try to understand the concern. Will not use zomato and Blinkit any more.,2025-11-27 01:50:00,0
8741ad5b-08e1-4a9a-bebe-6609c5236972,1,third class service dont pay online,2025-11-27 01:46:36,0
03a56f54-c0bf-4514-ac5c-16f6ba2ea2aa,5,"good app for food , I really liked it",2025-11-27 01:12:39,0
7f7235aa-851f-46a1-b956-7b281789e89f,5,good app,2025-11-27 01:10:13,0
196deed3-2130-4ac7-bd09-bd04f45ab62c,5,it's fantastic 🥰,2025-11-27 01:09:31,0
00c6e6e6-cd14-4235-8d28-9f68e15d2e03,5,this is very good app,2025-11-27 01:01:02,0
57b03303-f7f0-49ac-b120-5df66155f934,1,I don't know why they have make this platform when ever I have a complaint with the food not even Zomato is even solving the problem and not the restaurant just waste of the me and food,2025-11-27 00:59:03,0
4d885a81-6d0c-41cb-97f8-3d5f9886d680,1,"i had very bad experience today, they won't even respond when order get delayed, more than an hour delayed 😕😔",2025-11-27 00:53:08,0
bc0df262-8dde-49a4-aae8-25e809daa522,5,Good delivery partner this time,2025-11-27 00:45:56,0
a9b8064f-e137-4f76-b47a-6149d2c0669c,5,Bring back old rating system .,2025-11-27 00:41:01,0
be9532ee-9294-4fc3-aa9c-9b1f2a822ffe,4,better than other apps,2025-11-27 00:39:49,0
85903707-be96-40dc-9f14-9a591867ab44,5,nice offers which are used many times by me really Love this app its offer many time helped me that's why it deserves 5star,2025-11-27 00:30:00,0
c1dad46c-1fef-4671-aa98-ea5c537faa4a,1,very very bad service. late delivery and poor customer service,2025-11-27 00:26:10,0
2d7d3dc2-4131-41db-abe6-685ce2d67327,4,good service,2025-11-27 00:21:53,0
2fa53915-f852-4d9d-a4b4-ad1a11220132,5,best than Swiggy,2025-11-27 00:19:25,0
891356dc-1341-48f6-b348-887d658b288d,1,zomato not solved my problem and customer care executive not replying properly very bad service,2025-11-26 23:55:38,0
330122aa-c377-4083-a585-02b8e1b9c64e,5,nice easy to use app,2025-11-26 23:52:08,0
489f64d5-fbc4-4a26-9154-7ac4776395d9,5,very good platform to order food,2025-11-26 23:47:55,0
45d06f53-8a8e-4782-b433-22539dde6c7a,5,good but sometimes delivery people do annoy me,2025-11-26 23:41:54,0
1601564f-f3f3-4013-a13f-82674984081a,4,why did you remove the reviews on restaurants and blind us?? how did this enhancement benefit us!! your customer...,2025-11-26 23:35:36,0
25bdc53c-d82e-4306-9486-9ca9158cb1f7,5,I love the zomato,2025-11-26 23:27:37,0
83f2f498-727c-4c2e-8356-d0680266da2b,1,delivery boy eat our ordered food and say food already delivered,2025-11-26 23:20:16,0
890de7c8-ce59-4219-af73-63e8b3f96e61,5,good service tasty food,2025-11-26 23:18:34,0
cfb4f145-ca4f-4437-a1d0-adbe3a436c17,1,changing the review. Worst support for change of delivery partner. we won't be using zomato henceforth. it's question of data security and also food handling by some delivery partner. Nice experience of odering,2025-11-26 23:16:55,0
3189d268-6c0f-4f3e-bd6e-716b881d6d35,5,"good offer, nice delivery agent",2025-11-26 23:08:34,0
0f713335-ab14-441c-8db8-fdbec72575ab,5,good app,2025-11-26 23:06:19,0
ac07b12d-17e3-4f79-9bf6-ad196af849d9,5,This is my first time ordering food from you. Please give me good food. I want to order again later. Please give me good food.,2025-11-26 23:03:51,0
bbc4bf8c-8482-4814-bff8-bfd73158d0a4,1,worst customer service and delivery partners deliver to different addressees. swiggy is much better.,2025-11-26 23:02:46,0
cff677d2-e28d-455e-ac5d-a96d5039df80,1,"poor app, they are just mediators and charging their brokerage as platform fees. no benefit of this application, just making us lazy. instead of that we should go to a restaurant and buy the things we want... and you will be surprised with rates and quality, quantity when you find the difference between the online order and offline order.",2025-11-26 23:02:36,0
6b67adc2-91f8-4027-b907-d2d57734fa1b,5,"I really appreciate the fast delivery! The timing was perfect and the service was excellent. Thank you, Zomato.",2025-11-26 22:59:32,0
89ff6d76-45e2-4185-a297-4b5c61cd4d1a,5,nice working punctuality,2025-11-26 22:52:48,0
3b207ad7-7d5c-42f8-83de-f962737b2915,5,easy to order food.,2025-11-26 22:34:03,0
